sybil_address,account_type
0xbb2f1c3cac4949bf85f011faf6082f6e9f7bbaae,core
0xc3adbfd32f12008732d221caec62e8330779816e,satellite
0x930b36e291a2be47da48a44ba627d363d16dbc1f,satellite
0x2646cb458f3bbfad977740278d72183c28473bde,satellite
0x8fbd5c50bf531ebae8ff3dc8f1b2970dad299abd,core
0x1cab39eafaa0cb02081bfb2a2557965db83db035,satellite
0xb857493d28f0c249626101e9d1cb6a6feefe5f62,core
0x56fb6eb9ee3e3e9aea66f5c373c274fe3c2c16c1,core
0x8f9f688c5aa08fa0f96c2e9aa6f06f497c1b6ec2,core
0xad55160a98e6011e281f55700966a32a22904d52,core
0x72ff0dbc6c4eedc4c0c30af6c4db6610812c15cf,core
0x0da7544b8dfac9995dc4253b2f24cc6ecbcddc2d,core
0x1c72039175f06db0c07ef494fb8951a6eb793bfb,satellite
0xa4eb507580d11b127d8e3eb8fe970275e2e94d20,core
0xd72bb3e55acba07ec7a08e6c25fa8e12ada54ac2,satellite
0xaf9d45360b31d44a11281f345ae86477802dd371,core
0x1c60f3ebbbbdacef8dc51d14947c51c674b89263,satellite
0xefa80a25527fcdde37058aad50983f5c5f72039c,core
0x9466ecd09b37e28a689062191e633882cf08702a,core
0x82023cff0dca3740ffce44e3a4951a31d8b39ce8,core
0xd7661e66d1e71f757f0f454a343e20603a067598,core
0xe0b5eaefc6c7442223b9054fd5a05994dbc4b1c7,core
0xcb1b8e81ddc946f46e482e7ba816a4c0919ae28b,core
0xa9a8f7cf2bce9878aaf15bf24223ca21fe4eafbd,core
0x3a1b4f2373ecd2509819aad40dc8df8da59e6070,core
0xe1ff93ef1cfca875b3419f92df056f26fe82d768,satellite
0xcb451de87c1493a4863ef4822ffca5ece4c447bb,satellite
0x6b40c74713764b0e1e3de333375d10c037e2f52c,satellite
0x969f83ac9e5bfdb9abac9ca3c1acf6f72666c0f0,core
0x3e98f23ea899a4827f94d2ae2fcf2e4a88a8c767,satellite
0x80916acfcf9beafb1041320a827630d6475a5f96,core
0x0716f843d1e74904698578b25026c6d40d95ee03,core
0x983cdfe03c447b67728e6f67ccd732cb349f2d58,satellite
0x0d4ea15c32a3075561408b229126673be9908d0d,core
0xeacf9d30e221ae73653f140ccf33624d08960980,core
0x2c396bb56a91f2dc1f7ba6c917bec9929804cde7,satellite
0x20328f4200716b975b1c9efd76328a8fddcf23e5,satellite
0x3157f23ad25f9ec4617ce09c25b8fdfdab3ff26e,satellite
0x8433689c92839cf0774a809b3902cc7ce8ae1be9,satellite
0x6c0e104c61a2215d7eb15dbb63738b1656beab94,satellite
0x4688087207dee89ce122b6b0509aca49f4726313,core
