layer_zero_sybil_address,num_rank
0x0003835f067a45a25167f6d6ad24f860c53398d2,1
0x00067c68c96f8bf2d2258630badf8e4379234179,2
0x0008f5e7847b2ef543e925d5d06729937326ed43,3
0x000c79a54552e63c1b61f3467091171e26b0d6a9,4
0x000dbb1915fb0c7cb27fa213282857a5af0b9787,5
0x000f127ce8bf45238ff249fe818b17b7230109cb,6
0x0014ac6be7350aa588ce62a242da5d9053daeabc,7
0x0016b69e7c1e4267b67b9a38d10fca669cae963d,8
0x00171eef7f768584825e29b4bfe79667813c546c,9
0x0018fdf3896d184daf1188530fd88f2dc754185b,10
0x001ac706a0354d81852783afa7c40b29c7cd78a1,11
0x001df164fa208563ba23330f602174190f382f43,12
0x001f58b56ddcf0beb8a60b89441760e8b4757b24,13
0x0023b294f76618592648c85672aa62c0a31417a1,14
0x00261a33c208e18bbd6606c2eeabceac9b12837f,15
0x002c72add3d646bda60b58082bd3e6df34e37c1a,16
0x0034a6f3e05e671483eb98eaf9d44e87874491c2,17
0x00369e2da111ea0c28a682becb6296166becc63a,18
0x0036ace7790d559fed5e48172ac0fc50fc88140a,19
0x004017bc1e57e5c4f3cec3cdc3f9ed4aaac181ed,20
0x00435e70c85be8b829be7682c310b54224f647b1,21
0x004716f344c84a31aa6b4a5522d84c320c3d4252,22
0x0048958112cab142f0d2220ddc683d8f1c176897,23
0x004e72fd2c1465e48a4f08c3a8750c25e46010f0,24
0x004f37f4734b91eccea8906f4cb4ecf90f25103c,25
0x004fe81f2eaefc493597a65390eae6e090f80f63,26
0x0050e10186f6a153f02e8ca5cbf452d3da07aae6,27
0x00524da2b06f989f6ee092cf45603f5d3893cb74,28
0x005783e5596227326faadfbaa0343d894b8bd9cc,29
0x006086d3b1e19e0944f1ff79c1bea6506f723533,30
0x0067c0ad7dadede5893b949e8bcea967f4769761,31
0x00717195d741d1765cce228d038f88cda4b7799d,32
0x00721458d70c082576e8ae37e5125b89833ec977,33
0x00743cdf0db04fc34ea90095c73a53ee8833541d,34
0x0078eeb33abfda0111d01ccef2d35f85f3c2d33a,35
0x0079830eaed42682fe06d718b4e848a5ac48233b,36
0x007bbd2835d93e9e3d8607671991cc4b5cdf690d,37
0x007dd3599d1fa06bd5e159aefd11b25b22ca7818,38
0x008105fbba6b6edcf011e273044e019d99f22b0b,39
0x00819b965120c0d0693dfff3402c957df87fb51e,40
0x008af1daf34b9c2cc79004e7d5df22e00ffecb7e,41
0x0098185ac32776ecf83e19c1174de1e8ae8b19eb,42
0x00a0012eeff9a17e82e44e56d9101ad765100966,43
0x00a2e21bc3bad792740f95413fcb26ebf982e041,44
0x00ac84fc1f697a333f0ee309571928c27f5555d7,45
0x00acd2bdebe264ae868071f6b902cdc6cab1d60e,46
0x00ada6edb0da93fa1b8e0a32706cd0088da92c01,47
0x00ae1c465f23ca905ca80f0cd91f528170f7d216,48
0x00b697b21f4d76b7aef6a8722cb6ea7a3a5b30bb,49
0x00b7266d6bc82505836cc6e4ae9ed51a6854744f,50
0x00bb6c27c888963fb481518cebfd81281efb1217,51
0x00bb8f7b8470a1a41f7b398337115a6158f200a8,52
